"Inquinante:";"PM10"
"Elaborazione:";"media annua"
"Unita' di misura";"microgrammi/metro cubo"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2014"
"Tipologia di stazione:";"tutte le stazioni regionali (escluse industriali), divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014"
"traffico";"minimo tra le stazioni";52;34;44;31;34;30;23;29;28;27;30;29;23;21
"traffico";"mediana tra le stazioni";52;39,5;45;39,5;40;40,5;39;37;36;33;37;36;31;28
"traffico";"massimo tra le stazioni";52;45;60;41;43;48;48;44;40;38;43;45;37;35
"traffico";"n.stazioni valide";1;2;3;4;7;8;9;10;11;11;11;11;11;12
"fondo urbano/suburbano";"minimo tra le stazioni";46;39;37;28;30;31;27;24;21;20;25;23;19;18
"fondo urbano/suburbano";"mediana tra le stazioni";46;44,5;44;42;36;39;35,5;31;30;28,5;32,5;31;26;24
"fondo urbano/suburbano";"massimo tra le stazioni";46;50;51;60;43;48;44;39;38;38;40;38;31;30
"fondo urbano/suburbano";"n.stazioni valide";1;2;3;5;7;9;10;15;19;22;22;22;21;21
"fondo rurale";"minimo tra le stazioni";21;24;25;3;10;12;10;9;8;7;9;10;8;8
"fondo rurale";"mediana tra le stazioni";21;24;25;12;14,5;16,5;15,5;19;25;20;20;18;16;16
"fondo rurale";"massimo tra le stazioni";21;24;25;21;19;21;21;32;32;32;37;34;43;28
"fondo rurale";"n.stazioni valide";1;1;1;2;2;2;2;3;5;7;9;9;10;11
