"Inquinante:";"biossido di azoto"
"Elaborazione:";"superamenti orari"
"Unita' di misura";"ore"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2015"
"Tipologia di stazione:";"tutte le stazioni regionali (escluse industriali), divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014";"anno.2015"
"traffico";"minimo tra le stazioni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"traffico";"mediana tra le stazioni";4,5;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"traffico";"massimo tra le stazioni";22;54;21;14;11;54;16;12;4;3;8;5;4;0;4
"traffico";"n.stazioni valide";6;7;7;8;5;6;9;8;10;11;11;11;11;11;11
"fondo urbano/suburbano";"minimo tra le stazioni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fondo urbano/suburbano";"mediana tra le stazioni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fondo urbano/suburbano";"massimo tra le stazioni";3;2;1;2;13;2;6;9;0;2;3;0;0;0;0
"fondo urbano/suburbano";"n.stazioni valide";7;9;9;9;7;10;10;10;13;16;22;21;19;21;19
"fondo rurale";"minimo tra le stazioni";n.d.;0;0;n.d.;0;0;0;0;0;0;0;0;0;0;0
"fondo rurale";"mediana tra le stazioni";n.d.;0;0;n.d.;0;0;0;0;0;0;0;0;0;0;0
"fondo rurale";"massimo tra le stazioni";n.d.;0;0;n.d.;0;0;0;0;0;0;0;0;0;0;0
"fondo rurale";"n.stazioni valide";0;1;1;0;2;2;1;2;6;10;13;13;14;12;14
